text	label
Yes, very good! These evil acts WERE often performed in the name of God...you've been paying attention.	0
God loves anyone? Really? You mean this God? \ https://www.youtube.com/watch?v=-i3mX0YRrjM	0
its a mental disorder...	1
uhh the British military is a shell of its former self and those are the officers mentioned in the article. The British military started its decline in 1776 when it lost a war to a bunch of pitchfork wielding colonials. Just sayin.	0
What you mean like the Catholic Church does???	0
...Ignorant Bigot.....	1
Stand up for your rights people of America	0
All the immature homophobic remarks makes you look un educated	0
he does not have too! Plenty of sane men and women in America to volunteer !	0
As a current serving member with over 21yrs service in the infantry and as a firefighter, I have served with and currently serve with women and transgender. I was an instructor at the infantry Battleschool and I instructed/evaluated, and passed very fit and competent women. I have worked for a female Platoon commander that was one of the best officers I've worked for. I have served alongside women on multiple deployments to Bosnia, Kosovo, and Afghanistan. In the fire trade I am currently an instructor with plenty of female recruits. We also have transgender firefighters at some of our firehalls. There has never been a time that their abilities, dedication, sacrifice, motivation, fitness, has ever come into question. Too many men still feel insecure. They somehow try to use the excuse.... it's a distraction, they can't meet the same physical standards, etc. There's so much ignorance going around. It blows my mind.	0
Morals is what matters	0
Oh don't worry. We are all Summers here!	0
wierd.	0
Who actually gives a stuff about what the Qur'an says?	0
She obviously does. Are you completely devoid of empathy and imagination?	1
I do love a pogam on the tolly	0
Jeremy Gallet qu'est ce tu fous à Londres?	0
https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.psychologytoday.com%2Fblog%2Fyour-online-secrets%2F201409%2Finternet-trolls-are-narcissists-psychopaths-and-sadists&h=ATMJM-8-pEpqn_U2mvkjnlqvB6gvGa9egZPovqnUomJ25wygTJDPa5wxJaI5boNIZfysS_oyG5xAyojFR0UlX8PTD0cbG71wz1jV0qu9rFKBs1jwJB16Qh4pTgnQw8tatr2OCJga9eYnB-tDrw&s=1&enc=AZNMuk8rUA6UNjAz0yuMCenBLfP8FhGkE-aAmn2Ajt4aUm9NgTKCpRCeWDvSY3bIMpAQwyFBB6rehSyzVbmrCXe5aXextZzSzQxK0oPwcuGP8w	0
y did you waste so much time typing such rubbish, talking about you believe own salvation, ha! you and what army, the gay parade? listen guys or girls or whatever you Americans are these days, i urge you to read the Holy Bible and learn the truth, DONT BE LIKE SAM LAKIN	1
Friendship is not marriage.	0
Wow	0
Jesus ? He would not be walking in this march.... he would be preaching the gospel!	0
Everybody over here, quick, we have a rapture on the way - AGAIN! Manzy is so dumb I weep for his community.	1
"The majority of women in developed countries don't serve and ""aren't about that life""? That's news to me! Former Army nurse here, (ex) wife, daughter, sister and granddaughter of Army soldiers. I am not a liberal and strongly disagree with this. Trump has never served, therefore you are contradicting yourself when you state that anyone who hasn't served should decide this or knows what they're talking about if they disagree. If you're this concerned about someone else's sexuality, I don't think that you should serve either. You give us a bad name. https://en.m.wikipedia.org/wiki/Women_in_the_military_by_country"	0
"no they were allowed to retake tests and were given special treatment in order to push them through ranger school. Their standards in basic aren't the same either. If you ""served"" you'd know that, right?"	0
It's all inter-connected.	0
So, you'll be heading down to the recruitment office in the morning to sign up and put your non trans life on the line for your country huh? No? Thought not....	0
nothing normal about your statement.	0
We do Hehe its the gay atmosphere that gave the transgender republic Its motivation to rear Its ugly head... They all have psychosexual disorders	1
Hate the fact most people are. Being horrible come on show the love	0
I think their God is gay too	0
Happy pride	0
It's funny how people who voted for Trump accuse others of having mental issues - 😂😂😂	1
Love is love. Also you uber religious people need to practice the whole not casting stones, and loving thy neighbor and all. I can only assume god will judge you just as harshly as you claim that he will judge the LGBTQ community. Plus god does not make mistakes..... just sayin.	0
Hey, Australian here. I'll be voting YES. 🙂 🙂 🙂 🙂	0
DO YOU NOT KNOW THE WICKED WILL NOT INHERIT THE KINGDOM OF GOD? DO NOT BE DECEIVED: NETHER THE SEXUALLY IMMORAL NOR IDOLATER NOR ADULTERERS NOR MALE PROSTITUTES NOR HOMOSEXUAL OFFENDERS NOR THIEVES NOR THE GREEDY NOR DRUNKARDS NOR SLANDERERS NOR SWINDLERS WILL INHERIT THE KINGDOM OF GOD. - 1 Corinthians 6:9-10 NIV } } } *So have fun trying to convince God your dumbass theory :>	1
What's wrong with being proud of coping with any set back? If bring straight is difficult for you, it's fine for you to be proud. Not sure I've ever seen someone gay ask for a medal.	0
You are so stupid!	1
Why are normal people called narrow minded??? How about we are not mentally ill...	1
Don't worry- they won't!😖	0
Bush dodged too. It's a rich people thing not a Trump thing.	0
Who wants their 7 year old daughter to have to take a dump next to a man who 'identifies' as a woman?	1
you are just so wrong marriage is for procreation, I'll ask you this have you ever seen to 2 bulls make 1 calf no it take 1 cow & and 1 bull you don't comprehend biology.	1
Y isn't there a straight pride march. Homophobia is a pathetic thing but having a parade to celebrate being gay is just as pathetic	1
Disgusting	1
No one has to condone anything they don't want to, all should be free to do as they want Its called FREEDOM and should go both ways	0
Ah, you're a Biffer, now I see.	0
yes.	0
military has and will always have GAYS. LOOK AT ancient Greece. You're a misanthropic bigot	1
Vitalish Manzard is a mental disability	1
Mental illness.... https://www.psychiatry.org/patients-families/gender-dysphoria/what-is-gender-dysphoria	0
bs	0
Sorry no such word exists, This country has gone mad.	0
"What do you mean that it's only people who don't serve that support transgenders serving in the military? Did you not read the article? If you did you'd note that military commanders support it. Yet another example of ""alternative facts"" made up to support bigoted opinions."	0
I think you might want to re-read the Gospels and study St. Paul. Please pay special attention to 1 Corinthians 6:9-11. There's a plethora of sins listed, not just homosexuality, and the end is most important in that all people are capable of redemption and salvation. Calling people names, comparing them to animals, etc. is no way to evangelize and most certainly does not reflect how Jesus Christ treated people. In fact, it's a poor representation of the truth in Jesus Christ. A disciple of Jesus Christ should speak the truth with gentleness and respect. See 1 Peter 3:15. Speak the truth in Jesus Christ.	0
Exorcism is the Way? That's not creepy at all.	0
it would appear that President Trump has some good points!	0
God does but it's no excuse to change the laws he gave us to live as decent human beings. Next we will have a nation of tribunals claiming rights as to who should and who should not have children	1
Nice comment!	0
no it's not.	0
Sodom and Gomorrah are back.Welcome	1
In yer dreams	0
Lol	0
Your so called God created gay creatures not just gay humans grow up religious nut	1
The invisible man that lives in the sky doesn't like it.	0
The Supreme Court is the final judge in all cases involving laws of Congress, and the highest law of all — the Constitution. So equal rights only applies to those who are in power? That's what it sounds like you are saying.	0
You are very ignorant about your understanding of transgender! Do some reading and learn what you are talking about.	0
"I think the phrase ""We've had enough of experts"" might have something to do with it. Thanks for that, Farage..."	0
haters gonna hate ... accept basher... we dont need your opion just shut up..	0
Christians are morons. Some people will believe (in) anything.	1
Because God loves everyone dats why you have to take Him for granted by disobeying Him?	0
A froci	0
Heidrun that is absolutely a problem. We have designated toilets for males and females. You chose the toilet based on your gender not what you want to identify yourself as in your fairytale world.	1
It was Adam and Eve not Adam and Steve hahaha now that's funny.😂	0
"Gayle, you wouldn't be assuming hateful things about Michael would you? That would be bigotry! How dare you put him down, maybe he purposely identifies as being single, who are you to judge!? Maybe he is ""Transrelationship""."	0
Thank you, Dr Liner, for your highly educated and skilled medical opinion.	0
I'm not a homophobe but what's the point?	0
@ Mulya: Laurence is stating facts. It's hardly surprising that homosexuals tend to resent Christians given the contents of the bible?	0
U should know the gay rights warriors run multibilion Dóllar lobbies that specialise in the harassment politicians at Washington ....	1
Woah!	0
colourful...	0
I have a choice to make. for me,being gay is wrong. you guys should better live with that fools...	1
God loves everybody	0
Oh wow calling me gay? Stay in primary school. You could use the education	1
Más plata malgasta la iglesia católica, y tanto niños en la pobreza	0
Yes he does - Amen	0
Shameful	1
Brian, these people don't believe in God anymore they are satisfied with life, never gone broke, no shortages or hardships just the good life.	0
Amen	0
happy pride day to all of you guys:)	0
And why they celebrating the same parade in Istanbul, Turkey. As I understood they arrested a Dutch journalist.	0
Why am I almost not surprised?	0
Martin Paul Woolhouse ;) hands	0
Who created you? Who created this universe?	0
Gays my a*s	0
"get off your high horse and stop waving the Constitution around when you have only situational respect for it. What about the life and liberty of our Citizens that have been murdered, raped and destroyed by alien Criminals under deportation orders but released by Sanctuary pukes onto our streets? Want to start a list of those? And that ""woman with a brain tumor"" had an immigration hearing in January and was denied asylum. That's due process but I'm guessing the only due process you'll acknowledge must achieve your desired result. And all the Trump Admin. did was revoke the ""guidance"". That guidance did not disappear from the record and Schools can follow any policy they decide such as ...allowing students to choose which bathroom they use. You whining Leftist's want the Federal Government to be your hammer against States rights when it fits you but become ardent Federalists when sanctuary is challenged. I'm so glad Trump is defeating you at every turn."	1
That's a shame... There were gay Ugandan people walking in the parade screaming your country's name. Proud to be a Ugandan. Such a shame some Ugandans are not proud of them. Ah well	0
Roy is 'sick of having gay men rammed down his throat'. Methinks he doth protest too much...	0
God s a knob	0
You need to check the list of species again lol because nature reproduces in the oddest ways	0
YOu think racism and bigotry are normal? You must live in a hate filled world of your own choice.	0
You spelt cave man wrong	0
True	0
I want you to prove to me here and now that god exists? If he does then he/she will be the one to judge not you.	0
Can't even spell correctly and wants to talk about someone? My guy, go check yourself in at the library.	0
Well what is stopping them ??	0
What had it to do with rugby????	0
What about infertile people?	0
"These comments underlie the long term feud between leftists and people with right-wing views over opinion whether transsexualism is a mental disorder or not. This is a similar dicussion like the issue of abortion where some consider it murder while others a medical treatment. I think this is an insoluble problem which always triggering fierce dispute. Although I don't consider transgenders less capable of fighting and having weaker fortitude than others, I think that enlisting them to army would entail more mundane problems like bathrooms, toilets and so on but if any army wanted to accept them, it would tackle this small problem for sure. The problem is whether people with ""mental disorder"" should be conscripted into army or not. A man without legs wouldn't be accepted by army (although I am not sure) but it is visible disorder while transgenderism is a disputable subject."	1
"Alot of people ""People say things"" ""I heard it from a guy"" Also apparently 3 million more people in the US thought so too."	0
Way too go	0
You do realize that this isn't a unilateral decision by our President. It comes from input from the branches of the military.	0
So, there are a lot of transgender people serving right now, successfully. You just want to pull them out because of your preconceived notions!?! That doesn't make sense.	0
you are too ignorant for words!!!!	0
😳	0
sexy xx	0
very good	0
Because he's a bigot. That's why.	0
Indeed.	0
They are just a bunch of losers! It's the only thing they know. A sorry bunch. Dejected, disturbed, demented. Just an excuse for horrible behavior and inability to control themselves.	1
God made everythng perfect but you think he made mistakes in making transgender people? Education isn't all that great in Nigeria is it....	0
Tell you what Chris... you prove to me that leprechauns don't exist and I will then use your method to do the same (just to show you how much of a ridiculous request that was)	1
What if you aren't religious Aminu?	0
Don't think it's hate they are spewing it's based off the good book. Not hating here good for them just stop bashing the Christians they are suppose to hate sin not the people	0
Makes me feel sick......	1
God loves every one by condition you will be follow HIM not will follow this kind of satanic laws....	1
Wanted to curse Romania but decided to pray for them. May God have mercy on the country, the Church and it's people. Amen	0
You don't have to read or reply. 🙄	0
Love is what makes the world go around	0
The good thing Joe, is that once we go to heaven we will not have to deal with it any longer.	1
Idiot	1
Being gay outside London is still a problem!	0
Law is above everyone ;)	0
Being a gay is the biggest disaster in the world	1
God loves everyone but not gays.	1
Pipe down boy, the grown ups are talking.	1
sorry to disappoint you but I'm not into your games I'm afraid	0
OK so what is your answer for making all the not born gay people to become straight then? This should be good for a laugh	0
I agree with Guiliano on that one - it's a very irrational fear to have that the human race is going to die out any time soon because of homosexuals. We are an overpopulated planet, and especially because of that, we actually have more of a moral duty to adopt and look after orphaned children with our partners than we do to have our own kids.	0
Devon when you look up the word bigot, its an accurate self-description for you	1
so when you criticise their not supposed to respond ? That's pathetic	0
How do i disable comments	0
Hey hey ho ho the same rights that gives you the right to speak about getting rid of the nra also has the same rights for guns Hahha	0
"uuh! I can imagine how the ""erase of the sin"" just having a saw! next second there it goes your head !! sin gonne!! end of the story! right?"	0
Gay people have won more Olympic medals than you have	0
Are u gay?	0
Some frogs can spontaneously change their gender. So I find it awesome that you used a frog in your joke.	0
Surely this gay culture has gone beyond reasonable. Gays are a SMALL percentage of total population and this should control the amount of media coverage! It's being rammed down our throats. Enough is enough!!!	1
They would still fight for your country what ever their gender	0
Get educated.	1
If there is a god lol ???	0
There is no sensual love between man and woman and even the reproductive organs will guide you what you should enjoy not same sex of course	1
Are the hands of the other priest in the background measuring de size of his benediction to the claiming priest? Does it happens only in Romania? So much religious fervor! 😱	0
start up a group and give it heaps of letters and it will be accepted and then become a hate group belittling and ridiculing anyone who disagrees with your views like Blm and lgbt do. Awesome.	0
No rights have been removed. He's left it to individual states. Non-argument	0
Adam and eve , not adam and steve , ''male and female created them '' GEN 1.27	1
what are you live at	0
that was how obama said nice things but turned out to be the son of perdition,a jihadis apologist,a heterophobia,hate Christians, hate American patriots and a murderer	1
SICK!	1
"judge not lest you be judged and found wanting. Let he who is without sin cast the first stone. Why do you look at the speck in your brother's eye whilst ignoring the log in your own etc etc. You cannot claim to be religious when you are judgemental, clearly do not love thy neighbour as thyself and you doubtless go against a whole host of other Christian values. Why is it that the people who do not claim to be religious can actually be more godly and ""Christian"" in their attitudes and behaviour than some of those that do? In my experience the so called religious people that I have met have shown themselves to be right nasty pieces of work when it suited them. Give me an atheist any day!"	0
Hurry and come for you land father hope u see what's going on	0
And he wonders why no one wants to go to his church 😇	0
I'm not at all sure you know how any of this works. Hate less. Read more.	0
im from south Africa the richest county in Africa we are in the G20 im a student mechanic research cities like pretoria ,sandton ,capetown ,rose bank .Our currency is even giving some European nations like crèche rupublic ,Slovakia ,Bulgaria ,Russia a run many guys from other countries like india china and Pakistan are fleeing this side we have an immigration problem .Im sorry that you didn't know Africa is nade out of many countries and south African is the power house economically , you just believe what the media tells you .go into my Facebook account look at my pics n send me a message lol	0
Ridiculous misinformed comment!!	0
Men and women get married. If men and men or women and women want to be together, then call it something else.	1
God forgive them!!!!	1
I think your role will be to shut up and do as you are told. If not don't sign up.	1
Lol @ mincing	0
I have served in the United States Army and continue to serve as a DOD civilian... I supported then and continue to support the rights of ALL. That is why I signed up in the first place, you pogue.	0
North Carolina deplorable here. couldn't agree with you more! Oh and Im a woman who served.	0
😃😃😃😃	0
God does not love evildoers, so the statement is clearly false.	0
or be silent? Yeah that's pretty much what he was hoping for.	0
Each and everyone of us should be thankful to a gay, atheist named Alan Turing. It's because of him we can use the modern computer effectively. So take your stupid logic and hate somewhere else.	1
The priests' minds should not be on sexual matters but on prayer. The picture looks perverse.	0
Interesting read😎	0
God is a figment of the imagination created by people who cannot cope with reality	1
Judging is a sin	0
True.. they aren't hurting anyone.. love who you want..	0
some muslims would start a war over something like this! this has nothing to do with orthodoxy. its just a way to trash some more Romania and romanians. shame on you!	1
I didn't call you racist	0
Sarcastic reply, but I am correct.	0
good for them	0
You have a soul... again... all I'm asking you to do is to prove this claim. Stop with the attacks and address the point.	0
Always respect the law !!!	0
Jesus Christ is the Answer	0
Leroy leave	1
Fun pride or you may call it sick pride , frastrated shouts	1
Somewhat feebly provocative. C-	0
Freedom freedommmmmmm	0
These are the kind of brainless voters who currently have the US how it is. YOU GO AND FIGHT THEN.... if you are worth of picking who and who doesn't, based on stupidity.	1
we do have idiots in Romania , but comparing them with DM wankers, ours look like little baby's	1
It is sin...God destroyed world by warm water when they married to the same sex. God will do the same for this generation. Please everyone have to protest and pray.	1
If terrorism bothers you, don't get blown up by a terrorist ... no, wait, that doesn't work.	0
I clearly have more to say than your Trump loving sycophantic brain can cope with but by all means when you have pulled the chip off your shoulder do something useful and buy me a plant and nurture it as then you will be doing something original and productive	1
Thanks, Julie!	0
"So, to take your points in turn: 1) There was a study performed by RAND Corp. in 2016 to determine the effects of having transgender people in the military, and the cost was determined to be negligible. So, ultimately, ""cutting corners"" is not really all that necessary in this situation. 2) That study also examined several other military forces around the world that have transgender people enlisted and found no significant instances of loss of unit cohesion or morale. 3) That same study again noted that the number of transgender people serving between 1320 and 6630. It's tough to get an accurate number because it's not something the DoD really tracks, but some estimates put it above 10,000. That's not proven, though. At any rate, I think the important thing is that for people serving in the military, beyond gender, beyond race, beyond background, beyond sexuality, you are first a soldier. It's one of the first things you learn there. As long as leadership is in place, then any gender, sexuality, or gender identity can serve alongside each other. No, it's not going to be perfect, and yes, there will probably be incidents, but I applaud these folks for their voluntary service. I certainly didn't have the fortitude. Here's the study, if you're interested: https://www.rand.org/news/press/2016/06/30.html"	0
Today on the Gay Agenda.... I bought milk...and bread. Mwaaa haaaa haaaaa	0
Liberal used to be a word to describe people who valued diversity and freedom of expression now it means open minded people whose brains have fallen out who rail against free speech.	1
do some research and try to understand. Do you realize that some humans are born with both male and female genitalia? Is that a mental illness? No. Some are born with a male body but a female brain and vice versa. How difficult is that for you? Imagine feeling like a man but looking like a women. What a horrible life.	0
I'm sorry to break to you, but you're speaking out of your arse. Wow, this thread has really brought the nut jobs out.	1
Surely a marriage is a ceremony involving two people who love each other. Whoever the people are.	0
Hey, if you want pink uniforms push for it! Somebody is bound to listen.	0
It's hilarious and is mocking religion for just how ridiculous it is. Catch up with the times dinosaurs!! ...oh no wait, according to the bible ..they didn't exist! LOL LOL!!	1
We will thank you.	0
I'm pretty sure gays do have the same rights in the UK & US but I can name plenty of other countries that don't have gay rights & where they ARE hurt & killed many times more than in the West..are they on your radar though.?	0
Dont flatter yourself that you are irresistable to women, or men, or whatever.....you could just as easily be of such great sexual attraction (parhaps!) to a male colleague who is a homosexual.....i bet that makes you uncomfortable as well.....well that your problem and not theirs....you expect not to have to share a room with someone because you imagine in your head that they might secretly fancy you....	0
Happy Pride New York!!!! from Dayton, Ohio!!!	0
Amen Dave	0
they need real man in the battle field not the ones covered with make ups n worried about their nails n maskaras.lol..	1
Transgender restrooms are a 10th Amendment issue, the federal government has no jurisdiction in this matter at all. It is left up to the states. Obama had not right whatsoever ever to order this.	0
Colin. I am not going to regale you with (what I believe to be) lefty propaganda. However, I will say that, yes, we celebrate normal people. We also should celebrate gay people. In fact, it doesn't matter what sexuality they are, ALL people should be celebrated.	0
Happy Pride NYC!	0
All lies in the book of zog hats are forbidden as they are unnatural and disgusting. Read the good book and see the light. No where is sexuality mentioned in the book of zog.	0
Hands up who trusts me!?	0
Maybe this will help you understand. http://www.thisiscolossal.com/2014/04/spectacular-genetic-anomaly-results-in-butterflies-with-male-and-female-wings/	0
LOL literally LOL. Too absurd to bother commenting on. Number of gay people who have died as a result of the wrath of god 0. Find a sensible argument or give up.	1
why the angry faces?	0
I will always look at Christianity as being abnormal but I will also respect the choice that people make to be Christians, just don't bring this to my face and ask me to support it or accept it.	1
Phil Stevens. Learn basic grammar skills, then you can talk.	1
"The medical expenses to ""treat"" their conditon cost the military millions every year."	1
O please god hated gay people a year ago God does not exist he is a special friend to nutters	1
"Oh ""shemale? Your mother must be so proud. If you want to see a cretin? Look in the mirror."	1
Oh stop it Edgar!!!	0
Ok. Have a hood day.	0
Have you seen the USA billboards, God loves Gays, Search Facebook for Gods page.	0
We, the United States, are legit the laughing stock of the entire civilized world. One day descendants will look back and question how a country could make so much progress only to revert so far so fast. This period in US history will most likely be an interesting chapter in future sociology books.	1
Nobody really care of what you feel	0
It's produced by a gay rights group and has nothing to do with the Orthodox Church.	0
Who has to get it? just look at him <3 who cares	0
All higher animals practice polygamy so why shouldn't it be allowed to humans?	0
If you are getting it rammed down your throat you might want to switch to another bar	0
That's right. You Libs will revert to racism or any other of your dozens of pseudo-causes to try to justify your existence.	1
boom	0
LOVE is LOVE.	0
Judge yourself first you judgers on here get a life	0
Happy Pride ! 😆❤️❤️	0
Sorry they are everywhere shirking their shoulders, waving a hand, looking like tired retreads.	0
Soooo....women shouldnt be allowed in the military then? Cuz they might be looking at your tasty butt or even the enemies and be beside themselves and not be able to do their job? .....dude. not even close.	0
I would like to be here	0
Oh God	0
"ISIS u are missing the real target. Your exact target is at ""GRID"" newyork city , the epicentre of all evil. kkkkkkk"	0
what are they doing?	0
Dumb	1
Are you implying that transgender people can not train to be battle ready?	0
Why are people sending the angry emojies. Be happy. Live your life as you see fit. Live. Love .laugh	0
They know. The problem seems to be that you don't.	0
There's more than one kind of rubber glove Tim	0
Happy Pride from Portugal 😘	0
There is nothing natural about this at all.	1
Strange, but hey... Why not.	0
I have a kitchen floor he can scrub ;-)	0
It's got more to do with practicality then biased bigoted neanderthal opinions. Transgender individuals are people with psychological issues and on top of that they need to take hormones and other medical treatments for their entire lifetimes. Now how is this compatible with military duty? Particularly on the terrain. You have to draw the line somewhere. It just doesn't make any sense, at all...	1
Happy pride!	0
If it were not for the police they hate they would be getting beat.	0
Lets all pray for a little of Gods thunder right about now	0
brilliant x	0
The odious Michelle Bachman(thats her official name) wont be pleased...Great!	0
Frankly, they should do both.	0
1) fully transitioned trans people would be barracked according to who they are. Simple. Army policy for transition - I don't know. 2) If you're a man, you follow the mens requirements, and vice versa. Being trans is no different. 3) Actually, statistically speaking, trans women more often turn out to date women. I guess once you've crossed the gender divide, other divides are almost meaningless. Trans people also tend to date other trans people, presumably because they understand each other's experience more than non-trans people. ... and if a trans woman thought you looked attractive, take it as a compliment mate, just as you would from any woman. It doesn't mean that they're itching to jump down your kegs any more than any other woman is... or, for that matter, any gay guy that might be in the bed next to you. Grow a spine and stop being so insecure.	0
Let them all marry so we can lower the world population!	0
yuck	0
Not hating but what's the main point of it all. Is it just there holiday?	1
. All part of the plan.. Eliminate the Family values, Eliminate Morals and eliminate Christianity. http://www.jewsnews.co.il/2015/05/02/horrifying-threeway-marriages-may-now-be-legalized/	1
another useless gay product here,wish yur father fcuked another man you wouldn't be here supporting nonsense	1
That guy is only looking for attention and publicity. He came out quick with his statement.	0
They let women in the army too...	0
Gerard, if you'd look out your window a sec, or a map if you have one *one can hope* - other countries have other rules, and some - shock horror - give marriage opportunities to all! And there are good reasons for that. Wowsa. Just think o' that.	0
Where is the old good times... Where did America go?...	1
That has absolutely nothing to do with what is being talked about.	0
I bet most of these people that are judging are gay or have a child that is an has turned there backs on there children	0
What dream are you in ? What has he pardoned himself for ?? He has taken the advice of generals on this decision . what military do you have ? making bread soldiers does not count !	1
Really? So you're saying the UK military chiefs, you know the folks who serve actively in the military, never served? Oh boy.... you're mentally disabled.	1
Speak for yourself	0
